,pick_up_hexes,count,day_time
402,89f05ab4dcfffff,681,Night
401,89f05ab4d47ffff,681,Night
400,89f05ab6b7bffff,681,Night
405,89f05ab4d57ffff,681,Night
406,89f05ab6b6fffff,681,Night
407,89f05ab4dd3ffff,681,Night
404,89f05ab6b6bffff,681,Night
398,89f05ab4dc3ffff,681,Night
399,89f05ab4dd7ffff,681,Night
573,89f05ab6b03ffff,647,Night
569,89f05ab4d17ffff,647,Night
570,89f05ab6b67ffff,647,Night
571,89f05ab6b87ffff,647,Night
572,89f05ab4d8fffff,647,Night
577,89f05ab4d83ffff,647,Night
574,89f05ab6b63ffff,647,Night
575,89f05ab6b3bffff,647,Night
576,89f05ab4d93ffff,647,Night
567,89f05ab6b07ffff,647,Night
578,89f05ab6b73ffff,647,Night
568,89f05ab6b2bffff,647,Night
565,89f05ab6b77ffff,647,Night
566,89f05ab6b0fffff,647,Night
564,89f05ab6b17ffff,647,Night
763,89f05aa44c3ffff,558,Night
759,89f05aa449bffff,558,Night
760,89f05aa4447ffff,558,Night
761,89f05aa44c7ffff,558,Night
758,89f05aa44d7ffff,558,Night
762,89f05aa626fffff,558,Night
764,89f05aa441bffff,558,Night
827,89f05aa6697ffff,557,Night
826,89f05aa6693ffff,557,Night
825,89f05ab592fffff,557,Night
824,89f05aa6683ffff,557,Night
774,89f05ab4e3bffff,556,Night
775,89f05ab4e33ffff,556,Night
778,89f05ab4ebbffff,556,Night
776,89f05ab4e2bffff,556,Night
777,89f05ab4eabffff,556,Night
781,89f05aa71a7ffff,550,Night
780,89f05aa624fffff,550,Night
785,89f05aa6243ffff,550,Night
784,89f05aa44dbffff,550,Night
783,89f05aa6253ffff,550,Night
782,89f05aa71b7ffff,550,Night
832,89f05aa6387ffff,512,Night
828,89f05aa6317ffff,512,Night
829,89f05aa6307ffff,512,Night
830,89f05aa638fffff,512,Night
831,89f05aa6397ffff,512,Night
787,89f05aa620bffff,468,Night
788,89f05aa6667ffff,468,Night
786,89f05aa62c7ffff,468,Night
790,89f05aa621bffff,468,Night
789,89f05aa6677ffff,468,Night
466,89f05ab595bffff,454,Night
467,89f05ab594bffff,454,Night
518,89f05aa660fffff,446,Night
519,89f05aa6603ffff,446,Night
520,89f05aa62d7ffff,446,Night
521,89f05aa668bffff,446,Night
522,89f05aa666fffff,446,Night
523,89f05aa6613ffff,446,Night
765,89f05aa4477ffff,390,Night
630,89f05ab6c03ffff,386,Night
631,89f05ab6c8fffff,386,Night
632,89f05ab6cbbffff,386,Night
