,drop_off_hexes,count,day_time
592,89f05aa4557ffff,1216,Night
591,89f05aa451bffff,1216,Night
590,89f05aa457bffff,1216,Night
597,89f05aa40b7ffff,1216,Night
1316,89f05aa66c7ffff,1213,Night
1319,89f05aa66cfffff,1213,Night
1318,89f05aa6673ffff,1213,Night
1317,89f05aa660bffff,1213,Night
1315,89f05aa661bffff,1213,Night
1314,89f05aa6663ffff,1213,Night
1313,89f05aa62cfffff,1213,Night
1322,89f05ab4157ffff,1190,Night
1320,89f05ab41cfffff,1190,Night
1323,89f05ab417bffff,1190,Night
1321,89f05ab4147ffff,1190,Night
98,89f05ab6a97ffff,1161,Night
782,89f05ab4e13ffff,1158,Night
781,89f05ab4e03ffff,1158,Night
940,89f05ab5bafffff,1142,Night
934,89f05ab5b2fffff,1142,Night
939,89f05aa7597ffff,1142,Night
942,89f05ab5b27ffff,1142,Night
941,89f05ab5b37ffff,1142,Night
935,89f05ab5b33ffff,1142,Night
936,89f05ab5b23ffff,1142,Night
937,89f05ab5ba3ffff,1142,Night
938,89f05ab5bb3ffff,1142,Night
446,89f05ab4ebbffff,1121,Night
445,89f05ab4eabffff,1121,Night
444,89f05ab4e2bffff,1121,Night
442,89f05ab4e3bffff,1121,Night
443,89f05ab4e33ffff,1121,Night
1149,89f05ab4537ffff,1120,Night
1150,89f05ab45afffff,1120,Night
851,89f05ab6e4fffff,1112,Night
850,89f05ab6e57ffff,1112,Night
853,89f05ab6ecfffff,1112,Night
852,89f05ab6e43ffff,1112,Night
778,89f05ab6a4fffff,1104,Night
779,89f05ab6a53ffff,1104,Night
780,89f05ab6a43ffff,1104,Night
791,89f05ab6e83ffff,1103,Night
793,89f05ab6e9bffff,1103,Night
790,89f05ab6e8fffff,1103,Night
792,89f05ab6e93ffff,1103,Night
338,89f05ab6e6bffff,1093,Night
337,89f05ab6ad3ffff,1093,Night
719,89f05ab4e23ffff,1081,Night
720,89f05ab4a87ffff,1081,Night
723,89f05ab4a97ffff,1081,Night
721,89f05ab4abbffff,1081,Night
722,89f05ab4e2fffff,1081,Night
848,89f05ab4d83ffff,1077,Night
839,89f05ab6b2bffff,1077,Night
849,89f05ab6b73ffff,1077,Night
836,89f05ab6b77ffff,1077,Night
837,89f05ab6b0fffff,1077,Night
838,89f05ab6b07ffff,1077,Night
841,89f05ab6b67ffff,1077,Night
840,89f05ab4d17ffff,1077,Night
835,89f05ab6b17ffff,1077,Night
843,89f05ab4d8fffff,1077,Night
845,89f05ab6b63ffff,1077,Night
846,89f05ab6b3bffff,1077,Night
847,89f05ab4d93ffff,1077,Night
842,89f05ab6b87ffff,1077,Night
844,89f05ab6b03ffff,1077,Night
599,89f05aa4477ffff,1077,Night
263,89f05aa6a43ffff,1075,Night
264,89f05aa6adbffff,1075,Night
262,89f05aa45b7ffff,1075,Night
261,89f05aa6acbffff,1075,Night
260,89f05aa6a53ffff,1075,Night
259,89f05aa45a7ffff,1075,Night
1271,89f05ab6abbffff,1062,Night
1272,89f05ab6a87ffff,1062,Night
