,routes,count,day_time
103,89f05aa41afffff**89f05aa41b7ffff**89f05aa4c4bffff**89f05aa41b3ffff**89f05aa6a4fffff**89f05aa4c5bffff**89f05aa4137ffff**89f05aa6a4bffff**89f05aa41a3ffff**89f05aa4127ffff,187,Night
116,89f05ab6cc3ffff**89f05ab6ccfffff**89f05ab6c6bffff**89f05ab6c57ffff**89f05ab6c4fffff**89f05ab6c7bffff**89f05ab68d3ffff**89f05ab6c47ffff**89f05ab6cc7ffff,184,Night
107,89f05ab6d2bffff**89f05ab699bffff**89f05ab6967ffff**89f05ab6d07ffff**89f05ab6977ffff**89f05ab6993ffff**89f05ab6913ffff**89f05ab690fffff**89f05ab6d83ffff**89f05ab6d17ffff**89f05ab6d8fffff**89f05ab698bffff**89f0586b68bffff**89f05ab6903ffff**89f05ab6d3bffff,163,Night
135,89f05aa4567ffff**89f05aa4577ffff**89f05aa410fffff**89f05aa4e9bffff**89f05aa4177ffff**89f05aa419bffff**89f05aa4103ffff**89f05aa450fffff**89f05aa4113ffff**89f05aa453bffff**89f05aa418bffff**89f05aa4167ffff,160,Night
102,89f05ab4bd7ffff**89f05ab4b63ffff**89f05aa65d7ffff**89f05aa65c7ffff**89f05ab4b0bffff**89f05ab4b1bffff**89f05aa656bffff**89f05ab4b0fffff**89f05ab4b77ffff**89f05ab4b73ffff**89f05ab4b67ffff**89f05aa659bffff**89f05ab4b6fffff**89f05ab4bc7ffff**89f05aa651bffff,160,Night
133,89f05aa46a7ffff**89f05aa40dbffff**89f05aa40cbffff,158,Night
39,89f05ab4d8bffff**89f05ab4d1bffff**89f05ab4dc7ffff**89f05ab4d9bffff**89f05ab4d13ffff,158,Night
99,89f05ab6ea3ffff,157,Night
120,89f05aa65d3ffff**89f05aa6427ffff**89f05ab4b6bffff**89f05ab4b7bffff**89f05aa65dbffff**89f05aa64a7ffff**89f05aa65cbffff**89f05aa655bffff**89f05ab4b47ffff**89f05aa64b7ffff,155,Night
127,89f05ab6b9bffff**89f05ab6b8bffff**89f05ab686fffff**89f05ab6bd7ffff**89f05ab6863ffff**89f05ab6873ffff,151,Night
74,89f05aa460fffff**89f05aa4633ffff**89f05aa4677ffff**89f05aa4623ffff**89f05aa429bffff**89f05aa4297ffff**89f05aa468fffff**89f05aa462bffff**89f05aa4683ffff**89f05aa4607ffff**89f05aa4667ffff**89f05aa4617ffff**89f05aa462fffff**89f05aa463bffff,145,Night
129,89f05aa4517ffff**89f05aa4523ffff**89f05aa452bffff**89f05aa4197ffff**89f05aa4183ffff**89f05aa4133ffff**89f05aa452fffff**89f05aa4533ffff**89f05aa4187ffff**89f05aa41abffff**89f05aa41bbffff**89f05aa4507ffff**89f05aa4193ffff**89f05aa4123ffff**89f05aa418fffff,143,Night
156,89f0586b6d7ffff**89f0586b69bffff**89f0586b6c7ffff**89f0586b60bffff,120,Noon
112,89f05aa713bffff**89f05aa4613ffff**89f05aa4693ffff**89f05aa4687ffff**89f05aa468bffff**89f05aa46abffff**89f05aa46bbffff**89f05aa712bffff**89f05aa4603ffff**89f05aa4697ffff,113,Night
24,89f05ab6b8fffff**89f05ab6b83ffff**89f05ab6b13ffff**89f05ab6b93ffff,111,Night
